Total Consumption,GDP,HH Income,PM 10,Elec Prices,POP,PM2.5,Rain Days,Sunshine Hrs Mean,HU,Households,Daily Temp
35489.26256,212723,4831,61,21.4,4265762,21,175,6.066666667,0.635,1024500,28.00739726
36801.81806,236158.8,4952,120,25.1,4401365,23,174,5.633333333,0.667,1054100,27.7430137
38304.9155,272697.6,5362,53,23.5,4588599,19,195,5.316666667,0.674,1074800,27.53863014
38986.94987,273941.6,6100,49,28.1,4839396,16,182,5.241666667,0.661,1093100,27.47486339
38822.87016,282394.5,6006,59,22.6,4987573,19,166,5.95,0.637,1119600,27.92767123
42251.74936,326980.1,6342,76,25.5,5076732,17,178,5.691666667,0.639,1145900,28.08547945
43007.13868,351367.9,7037,55,27.6,5183688,17,188,5.575,0.669,1146200,27.5690411
44200.70548,368770.5,7566,57,29,5312437,19,191,5.533333333,0.646,1152000,27.54262295
44948.8187,384870.3,7872,215,26.8,5399162,20,206,5.433333333,0.634,1174500,27.65479452
46402.96373,398947.9,8292,75,25.6,5469724,18,152,5.975,0.597,1200000,27.91835616
47513.93225,423444.1,8666,186,21.6,5535002,24,125,6.166666667,0.586,1225300,28.24136986
48626.64752,440218.2,8846,61,18.6,5607283,15,179,6,0.58,1263600,28.42923497
49643.65719,472079.1,9023,57,20.1,5612253,14,204,5.8,0.659,1289900,27.69534247
50448.9,503395.2,9293,59,21.9,5638676,15,188,5.75,0.612,1325300,27.88520548
